epoch,train_loss,val_loss,lr
1,0.028879899982242815,0.015067535627167672,0.001
2,0.015390721990937186,0.011921409663045779,0.0009972609476841367
3,0.01221888690375753,0.011223845649510622,0.0009890738003669028
4,0.011594829547609533,0.011183356080437079,0.0009755282581475768
5,0.011387753923754058,0.01113456385792233,0.0009567727288213003
6,0.011306558232454042,0.011096689326222986,0.0009330127018922195
7,0.011223465790070834,0.011107764148619026,0.0009045084971874739
8,0.011187140882435826,0.011082766170147806,0.0008715724127386972
9,0.011152184440664226,0.011077215371187776,0.0008345653031794292
10,0.011121864002498408,0.011055998911615461,0.0007938926261462366
11,0.01110551233643726,0.01107159536331892,0.00075
12,0.011072362585353756,0.011062729929108173,0.0007033683215379003
13,0.011049512751220215,0.011039988457923755,0.0006545084971874739
14,0.011017874799548619,0.011019477882655337,0.0006039558454088797
15,0.01100776917601545,0.011010254704160616,0.0005522642316338269
16,0.01097944397629509,0.01099869652534835,0.0005000000000000002
17,0.010954674844059252,0.010978413425618783,0.0004477357683661734
18,0.010933505333659629,0.011020619363989681,0.00039604415459112036
19,0.010906811645855346,0.01099122763844207,0.0003454915028125264
20,0.010885546787551815,0.010967071866616607,0.0002966316784621
