epoch,train_loss,val_loss,lr
1,0.0279598927795887,0.015464541706023738,0.001
2,0.015461914636194707,0.01545877501484938,0.0009938441702975688
3,0.015459758467972278,0.015458067209692672,0.0009755282581475768
4,0.015459359742701054,0.01545785364578478,0.0009455032620941839
5,0.015459216549992561,0.015457760368008167,0.0009045084971874737
6,0.015459146961569786,0.01545770958182402,0.0008535533905932737
7,0.015459108233451844,0.015457679779501632,0.0007938926261462366
8,0.015459084555506706,0.01545765993068926,0.0007269952498697733
9,0.015459068559110164,0.015457647969014943,0.0006545084971874737
10,0.015459058173000813,0.01545764016918838,0.0005782172325201155
11,0.015459051221609116,0.015457633853657171,0.0005
12,0.015459045335650444,0.015457630128366873,0.0004217827674798847
13,0.015459041260182858,0.015457624744158238,0.00034549150281252633
14,0.01545903766900301,0.015457622677786276,0.00027300475013022663
15,0.01545903641730547,0.015457620174856856,0.00020610737385376348
16,0.015459034375846385,0.015457618952495977,0.00014644660940672625
17,0.015459033288061618,0.015457618952495977,9.549150281252631e-05
18,0.015459032446146012,0.01545761781744659,5.4496737905816096e-05
19,0.01545903217047453,0.01545761781744659,2.447174185242323e-05
20,0.015459032140672208,0.01545761781744659,6.15582970243117e-06
